codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
JV2209867P,KON,KONFIA IMÓVEIS LTDA,"1.000,00","80,00","10,00",Pausado,22/09/2022,30,,Padrão,sistema,Smart,Nao,Sim
JV2209802P,KON,KONFIA IMÓVEIS LTDA,"1.200,00","80,00","10,00",Pausado,09/09/2022,30,18/09/2023,Padrão,sistema,Smart,Nao,Sim
JV2208777P,KON,KONFIA IMÓVEIS LTDA,"900,00","80,00","10,00",Pausado,05/09/2022,30,,Padrão,sistema,Smart,Nao,Sim
JV2208746P-R,KON,KONFIA IMÓVEIS LTDA,"1.980,00","80,00","10,00",Pausado,26/08/2022,30,28/09/2023,Padrão,sistema,Smart,Nao,Sim
GA2207644P,KON,KONFIA IMÓVEIS LTDA,"1.700,00","80,00","10,00",Pausado,01/08/2022,30,29/04/2024,Padrão,sistema,Smart,Nao,Sim
JV2205437P,KON,KONFIA IMÓVEIS LTDA,"850,00","80,00","10,00",Pausado,16/05/2022,30,26/10/2023,Padrão,sistema,Smart,Nao,Sim
JV2205420P-R,KON,KONFIA IMÓVEIS LTDA,"1.395,00","80,00","10,00",Pausado,11/05/2022,30,28/12/2023,Padrão,sistema,Smart,Nao,Sim
JV2204373P,KON,KONFIA IMÓVEIS LTDA,"700,00","80,00","10,00",Pausado,25/04/2022,30,11/02/2023,Padrão,sistema,Smart,Nao,Sim
JV2204367P,KON,KONFIA IMÓVEIS LTDA,"850,00","80,00","10,00",Pausado,25/04/2022,30,24/10/2023,Padrão,sistema,Smart,Nao,Sim
JV2204308P-R,KON,KONFIA IMÓVEIS LTDA,"1.100,00","80,00","10,00",Pausado,06/04/2022,30,,Padrão,sistema,Smart,Nao,Sim
JV2209889P,KON,KONFIA IMÓVEIS LTDA,"1.850,00","80,00","10,00",Encerrado,10/10/2022,30,21/06/2024,Padrão,sistema,Smart,Nao,Sim
S-JV2203228A/1,KON,KONFIA IMÓVEIS LTDA,"4.364,88","100,00","10,00",Encerrado,08/04/2022,30,,Padrão,sistema,Smart,Nao,Sim
S-JV2107523X/1,KON,KONFIA IMÓVEIS LTDA,"1.133,19","100,00","10,00",Encerrado,02/08/2021,30,,Padrão,sistema,Smart,Nao,Sim
JV22111158P-R/I,KON,KONFIA IMÓVEIS LTDA,"1.000,00","80,00","10,00",Encerrado,02/12/2022,30,,Padrão,sistema,Smart,Nao,Sim
M-LEH2412112,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.344,61","0,00","10,00",Encerrado,20/10/2021,30,,,sistema,Full,Sim,NÃ£o
