codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
B-MIR25072686,,AM IMOVEIS LTDA,"3.448,95","0,00","0,00",Ativo,19/06/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072685,,AM IMOVEIS LTDA,"1.700,00","0,00","0,00",Ativo,16/07/2022,42,,,sistema,Bank,Sim,Ṇo
B-MIR25072675,,AM IMOVEIS LTDA,"1.740,38","0,00","0,00",Ativo,10/10/2022,48,,,sistema,Bank,Sim,Ṇo
B-MIR25072648,,AM IMOVEIS LTDA,"1.521,85","0,00","0,00",Ativo,14/08/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072641,,AM IMOVEIS LTDA,"2.722,95","0,00","0,00",Ativo,22/03/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072640,,AM IMOVEIS LTDA,"2.697,76","0,00","0,00",Ativo,06/09/2022,72,,,sistema,Bank,Sim,Ṇo
B-MIR25072628,,AM IMOVEIS LTDA,"2.208,99","0,00","0,00",Ativo,24/07/2024,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072627,,AM IMOVEIS LTDA,"1.622,40","0,00","0,00",Ativo,03/02/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072625,,AM IMOVEIS LTDA,"4.131,11","0,00","0,00",Ativo,30/06/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072624,,AM IMOVEIS LTDA,"3.732,84","0,00","0,00",Ativo,01/08/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072618,,AM IMOVEIS LTDA,"1.630,83","0,00","0,00",Ativo,25/05/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072606,,AM IMOVEIS LTDA,"2.780,90","0,00","0,00",Ativo,08/07/2021,67,,,sistema,Bank,Sim,Ṇo
B-MIR25072607,,AM IMOVEIS LTDA,"2.138,66","0,00","0,00",Ativo,25/08/2021,61,,,sistema,Bank,Sim,Ṇo
B-MIR25072587,,AM IMOVEIS LTDA,"1.350,00","0,00","0,00",Ativo,15/07/2020,78,,,sistema,Bank,Sim,Ṇo
B-MIR25072605,,AM IMOVEIS LTDA,"1.600,00","0,00","0,00",Ativo,01/02/2022,60,,,sistema,Bank,Sim,Ṇo
B-MIR25072602,,AM IMOVEIS LTDA,"1.412,40","0,00","0,00",Ativo,10/01/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072601,,AM IMOVEIS LTDA,"748,70","0,00","0,00",Ativo,22/03/2019,88,,,sistema,Bank,Sim,Ṇo
B-MIR25072589,,AM IMOVEIS LTDA,"2.936,97","0,00","0,00",Ativo,18/04/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25072561,,AM IMOVEIS LTDA,"1.150,89","0,00","0,00",Ativo,03/01/2022,78,,,sistema,Bank,Sim,Ṇo
B-MIR25072553,,AM IMOVEIS LTDA,"3.860,00","0,00","0,00",Ativo,05/07/2021,73,,,sistema,Bank,Sim,Ṇo
B-MIR25072551,,AM IMOVEIS LTDA,"2.400,00","0,00","0,00",Ativo,06/06/2022,60,,,sistema,Bank,Sim,Ṇo
B-MIR25072520,,AM IMOVEIS LTDA,"5.000,00","0,00","0,00",Ativo,16/05/2022,49,,,sistema,Bank,Sim,Ṇo
B-MIR25062411,,AM IMOVEIS LTDA,"1.800,00","0,00","0,00",Ativo,21/06/2022,72,,,sistema,Bank,Sim,Ṇo
B-MIR25052036,,AM IMOVEIS LTDA,"1.415,29","0,00","0,00",Ativo,22/05/2023,36,,,sistema,Bank,Sim,Ṇo
B-MIR25051066,,AM IMOVEIS LTDA,"2.140,20","100,00","10,00",Ativo,26/07/2019,84,,,sistema,Bank,Sim,Ṇo
B-MIR25052035,,AM IMOVEIS LTDA,"2.500,00","100,00","10,00",Ativo,10/06/2022,72,,,sistema,Bank,Sim,Ṇo
B-MIR2504986,,AM IMOVEIS LTDA,"1.544,72","0,00","0,00",Ativo,13/01/2020,93,,,sistema,Bank,Sim,Ṇo
B-MIR2504812,,AM IMOVEIS LTDA,"3.155,70","0,00","0,00",Ativo,26/08/2024,36,,,sistema,Bank,Sim,Ṇo
B-MIR2504989,,AM IMOVEIS LTDA,"1.895,76","0,00","0,00",Ativo,22/05/2024,36,,,sistema,Bank,Sim,Ṇo
B-MIR2504985,,AM IMOVEIS LTDA,"3.476,52","0,00","0,00",Ativo,10/07/2020,84,,,sistema,Bank,Sim,Ṇo
B-MIR2504984,,AM IMOVEIS LTDA,"1.800,00","0,00","0,00",Ativo,20/04/2022,36,,,sistema,Bank,Sim,Ṇo
B-MIR2504988,,AM IMOVEIS LTDA,"2.738,32","0,00","0,00",Ativo,10/05/2024,36,,,sistema,Bank,Sim,Ṇo
B-MIR2503636,,AM IMOVEIS LTDA,"2.060,55","0,00","0,00",Ativo,03/03/2020,77,,,sistema,Bank,Sim,Ṇo
B-MIR2504915,,AM IMOVEIS LTDA,"1.600,00","0,00","0,00",Ativo,22/04/2022,72,,,sistema,Bank,Sim,Ṇo
B-MIR2504876,,AM IMOVEIS LTDA,"1.788,57","0,00","0,00",Ativo,07/06/2024,36,,,sistema,Bank,Sim,Ṇo
B-MIR2504752,,AM IMOVEIS LTDA,"1.965,43","0,00","0,00",Ativo,15/12/2022,36,,,sistema,Bank,Sim,Ṇo
B-MIR2504896,,AM IMOVEIS LTDA,"2.450,00","0,00","0,00",Ativo,18/11/2024,36,,,sistema,Bank,Sim,Ṇo
B-MIR2504762,,AM IMOVEIS LTDA,"2.262,02","0,00","0,00",Ativo,12/06/2024,36,,,sistema,Bank,Sim,Ṇo
B-MIR2504846,,AM IMOVEIS LTDA,"3.448,17","0,00","0,00",Ativo,07/11/2024,30,,,sistema,Bank,Sim,Ṇo
B-MIR2504750,,AM IMOVEIS LTDA,"3.343,68","0,00","0,00",Ativo,12/11/2024,36,,,sistema,Bank,Sim,Ṇo
B-MIR2504746,,AM IMOVEIS LTDA,"2.419,37","0,00","0,00",Ativo,15/07/2024,36,,,sistema,Bank,Sim,Ṇo
B-MIR2504775,,AM IMOVEIS LTDA,"1.875,24","0,00","0,00",Ativo,22/02/2024,36,,,sistema,Bank,Nao,Ṇo
B-MIR2504749,,AM IMOVEIS LTDA,"2.679,80","0,00","0,00",Ativo,07/10/2024,36,,,sistema,Bank,Nao,Ṇo
B-MIR2504761,,AM IMOVEIS LTDA,"2.953,24","0,00","0,00",Ativo,29/02/2024,36,,,sistema,Bank,Nao,Ṇo
B-MIR2504748,,AM IMOVEIS LTDA,"3.800,00","0,00","0,00",Ativo,16/09/2024,36,,,sistema,Bank,Nao,Ṇo
B-MIR2503704,,AM IMOVEIS LTDA,"3.111,00","0,00","0,00",Ativo,15/09/2023,36,,,sistema,Bank,Nao,Ṇo
B-MIR2503702,,AM IMOVEIS LTDA,"1.450,00","0,00","0,00",Ativo,10/02/2022,72,,,sistema,Bank,Nao,Ṇo
B-MIR2503700,,AM IMOVEIS LTDA,"3.214,70","0,00","0,00",Ativo,18/09/2023,36,,,sistema,Bank,Sim,Ṇo
